^FINANCIAL,11/06/2006,799.58,801.67,798.06,801.61,18557,42676
ASIA,11/06/2006,6.8,6.8,6.8,6.8,7000,0
BDO,11/06/2006,45,46,44.5,44.5,1568100,-14276700
BPI,11/06/2006,62.5,63,62.5,63,1589000,44458750
CHIB,11/06/2006,675,675,675,675,3250,0
CSB,11/06/2006,20.5,20.5,20.5,20.5,3100,0
EIB,11/06/2006,0.42,0.43,0.42,0.42,10950000,0
EPCI,11/06/2006,73,73,72.5,72.5,107700,-4350000
MBT,11/06/2006,48,48.5,47.5,48,662900,15846600
PBC,11/06/2006,52,52,52,52,700,0
PNB,11/06/2006,35,35,35,35,15000,0
RCB,11/06/2006,21.25,21.25,21,21,26600,0
SECB,11/06/2006,61.5,62,61.5,62,73900,868650
UBP,11/06/2006,47,47.5,46.5,47.5,82500,-200650
BKD,11/06/2006,0.76,0.76,0.76,0.76,20000,0
COL,11/06/2006,4.7,4.7,4.6,4.6,163000,0
MFC,11/06/2006,1640,1650,1640,1650,310,330000
PCIL,11/06/2006,1.22,1.26,1.22,1.26,163000,0
PSE,11/06/2006,245,245,245,245,1000,0
SLF,11/06/2006,2070,2070,2070,2070,570,0
V,11/06/2006,1.54,1.54,1.52,1.52,672000,0
^INDUSTRIAL,11/06/2006,3504.04,3509.09,3466.7,3481.96,52474,-915
FGEN,11/06/2006,53,53,53,53,1100,58300
FPH,11/06/2006,52.5,52.5,52.5,52.5,441600,-115500
MER,11/06/2006,26,26,26,26,61000,0
MERB,11/06/2006,31,31,30.5,31,317500,-5223500
MWC,11/06/2006,9.5,9.5,9.3,9.4,4473000,-1908000
PCOR,11/06/2006,4.35,4.35,4.25,4.35,3828000,8753850
PWR,11/06/2006,0.29,0.3,0.29,0.29,510000,0
SPC,11/06/2006,1.88,1.88,1.88,1.88,1000,0
TA,11/06/2006,1.04,1.04,1.02,1.02,141000,0
AMC,11/06/2006,3.65,3.65,3.65,3.65,9000,0
CAC,11/06/2006,2.32,2.32,2.32,2.32,20000,0
GSMI,11/06/2006,21.75,22,21.5,22,37300,-806075
JFC,11/06/2006,40.5,40.5,40,40.5,190400,1443650
RFM,11/06/2006,1.06,1.06,1.04,1.06,530000,-106000
ROX,11/06/2006,3.65,3.65,3.65,3.65,11000,0
SFI,11/06/2006,0.32,0.33,0.32,0.33,120000,0
SMC,11/06/2006,66,66,65.5,66,50900,0
SMCB,11/06/2006,74.5,74.5,74.5,74.5,266400,156450
URC,11/06/2006,21.75,21.75,20.75,20.75,2603500,-5275600
CMT,11/06/2006,0.55,0.57,0.54,0.54,9640000,10800
EEI,11/06/2006,2.75,2.75,2.75,2.75,22000,0
HLCM,11/06/2006,6,6,6,6,1310000,1518000
RCM,11/06/2006,2.8,2.8,2.6,2.7,484000,0
COAT,11/06/2006,4.85,4.85,4.8,4.85,796000,0
MAHB,11/06/2006,0.45,0.45,0.45,0.45,100000,0
GEI,11/06/2006,0.7,0.72,0.68,0.68,22750000,578000
PCP,11/06/2006,0.175,0.18,0.175,0.175,3730000,0
PMPC,11/06/2006,6.5,6.5,6.5,6.5,30000,0
^HOLDING,11/06/2006,1428.33,1428.8,1411.84,1419.85,253494,59576
ABA,11/06/2006,0.009,0.009,0.008,0.008,115000000,0
ABAB,11/06/2006,0.009,0.009,0.0085,0.0085,24000000,0
AC,11/06/2006,495,495,487.5,490,98670,-35177150
ACR,11/06/2006,0.58,0.58,0.58,0.58,200000,0
AEV,11/06/2006,5.8,5.9,5.8,5.8,600000,1355900
AJO,11/06/2006,0.047,0.047,0.044,0.045,31500000,-4500
ANS,11/06/2006,2.7,2.75,2.7,2.7,478000,0
APC,11/06/2006,0.24,0.24,0.235,0.235,840000,0
APM,11/06/2006,0.008,0.008,0.0075,0.0075,10000000,0
APO,11/06/2006,0.93,0.93,0.93,0.93,1040000,0
ATN,11/06/2006,1.52,1.52,1.52,1.52,1000,0
B,11/06/2006,3,3,2.95,2.95,67000,0
BAL,11/06/2006,1.1,1.1,1.1,1.1,26000,0
BCI,11/06/2006,9.1,9.2,9.1,9.2,24000,0
BPC,11/06/2006,1.42,1.46,1.42,1.44,3110000,2577600
DMC,11/06/2006,4.75,4.85,4.75,4.8,1798000,-247500
FDC,11/06/2006,2.6,2.65,2.55,2.6,2429000,0
HI,11/06/2006,1.74,1.74,1.74,1.74,166000,288840
JGS,11/06/2006,7.9,7.9,7.8,7.9,357000,630500
MED,11/06/2006,0.23,0.23,0.23,0.23,200000,0
MHC,11/06/2006,0.37,0.37,0.37,0.37,60000,0
MIC,11/06/2006,1.62,1.64,1.6,1.6,1217000,160380
PA,11/06/2006,0.019,0.019,0.018,0.018,35500000,0
POPI,11/06/2006,0.19,0.19,0.19,0.19,1330000,0
REG,11/06/2006,1.24,1.26,1.24,1.26,5200000,-3377000
SGI,11/06/2006,0.73,0.75,0.73,0.75,70000,0
SINO,11/06/2006,0.13,0.13,0.13,0.13,2490000,0
SM,11/06/2006,282.5,287.5,282.5,285,582880,93369475
UNI,11/06/2006,0.13,0.13,0.13,0.13,5370000,0
WIN,11/06/2006,0.135,0.145,0.13,0.135,9740000,0
^PROPERTY,11/06/2006,1202.64,1202.64,1193.45,1197.2,240853,-21804
ALI,11/06/2006,15.25,15.25,15.25,15.25,2191400,730475
BEL,11/06/2006,1.1,1.1,1.08,1.1,1691000,0
BRN,11/06/2006,1.9,1.96,1.88,1.88,9910000,0
CDC,11/06/2006,1.5,1.8,1.5,1.8,57000,0
CEI,11/06/2006,0.42,0.43,0.42,0.42,7820000,-1353800
CHI,11/06/2006,3,3,2.95,2.95,205000,590000
CMP,11/06/2006,1.54,1.54,1.5,1.52,626000,-753960
CYBR,11/06/2006,0.27,0.27,0.27,0.27,1550000,0
ELI,11/06/2006,0.56,0.56,0.55,0.55,18630000,-4062400
EPHI,11/06/2006,1.34,1.34,1.34,1.34,150000,0
FLI,11/06/2006,1.68,1.68,1.62,1.62,10679000,-1031160
IRCB,11/06/2006,0.007,0.007,0.007,0.007,15000000,0
KEP,11/06/2006,1.28,1.28,1.28,1.28,1000,0
KPP,11/06/2006,0.41,0.42,0.41,0.42,18400000,0
LND,11/06/2006,0.77,0.77,0.77,0.77,500000,0
MEG,11/06/2006,2.44,2.44,2.36,2.36,20778000,-14210840
MPC,11/06/2006,1.6,1.84,1.6,1.84,1659000,32000
MRC,11/06/2006,0.33,0.33,0.33,0.33,50000,0
PHES,11/06/2006,0.18,0.185,0.18,0.185,300000,0
RLC,11/06/2006,15,15.5,15,15.5,2971700,4721025
RLT,11/06/2006,0.49,0.56,0.49,0.54,109420000,908500
SMDC,11/06/2006,2.04,2.04,1.96,1.96,228000,9800
SMPH,11/06/2006,9.3,9.5,9.3,9.4,18006000,-7384500
SUN,11/06/2006,0.62,0.64,0.6,0.6,30000,0
^SERVICE,11/06/2006,1421.59,1424.36,1410.13,1424.31,147722,25591
