^FINANCIAL,05/18/2018,1925.71,1925.71,1909.79,1921.59,470934,-73987
AUB,05/18/2018,57.65,58.95,57.65,58.95,24750,1314025
BDO,05/18/2018,132.9,132.9,130,132.3,934570,-23330661
BPI,05/18/2018,99.5,99.9,98.8,99.5,1254420,29031837
CHIB,05/18/2018,34.8,34.9,34.7,34.7,84700,-278444
CSB,05/18/2018,7.11,7.11,7.11,7.11,300,2133
EW,05/18/2018,15.8,16.02,15.8,15.82,329800,-111654
MBT,05/18/2018,83,83.45,82.5,82.75,1547620,-54980727
PBC,05/18/2018,21,21.8,20,20.3,22700,0
PNB,05/18/2018,53,53.1,51.95,52,172940,-6815528
PSB,05/18/2018,86.8,86.8,86.8,86.8,10,0
PTC,05/18/2018,106.5,106.5,106.5,106.5,20,0
RCB,05/18/2018,38,38,37.85,38,126400,1176425
SECB,05/18/2018,200.4,202,199.6,199.9,317720,-20005362
UBP,05/18/2018,89,89.1,89,89.1,19150,0
BKR,05/18/2018,1.42,1.45,1.42,1.45,74000,0
BLFI,05/18/2018,3,3,3,3,26000,0
COL,05/18/2018,16.4,16.74,16.4,16.4,20900,0
FERRO,05/18/2018,3.79,3.79,3.62,3.76,75000,0
FFI,05/18/2018,8.4,8.78,8.4,8.78,900,2632
I,05/18/2018,1.55,1.62,1.55,1.62,10000,3240
MED,05/18/2018,0.56,0.56,0.54,0.54,1368000,0
MFC,05/18/2018,880,880,870,870,200,0
NRCP,05/18/2018,1.08,1.16,1.05,1.1,2501000,4500
PSE,05/18/2018,210,211.8,209.4,211.8,2330,0
SLF,05/18/2018,1950,1955,1950,1955,710,0
V,05/18/2018,1.2,1.2,1.2,1.2,18000,0
^INDUSTRIAL,05/18/2018,11013.88,11031.16,10900.15,10951.2,931852,-8525
ACR,05/18/2018,1.23,1.25,1.23,1.25,42000,0
AP,05/18/2018,38.75,38.85,38.1,38.85,852800,-7025630
BSC,05/18/2018,0.23,0.23,0.223,0.223,4180000,224500
EDC,05/18/2018,5.23,5.23,5.06,5.14,4179600,2764600
FGEN,05/18/2018,15.2,15.2,14.78,14.8,842400,-3472796
FPH,05/18/2018,65,65,62.8,63.8,211350,-2180382
H2O,05/18/2018,5.81,5.95,5.63,5.7,115400,0
MER,05/18/2018,320,327,319.8,322,196400,-7428354
MWC,05/18/2018,27.25,27.25,26.9,27,2199400,6417480
PCOR,05/18/2018,9.3,9.32,9.25,9.32,491700,1112112
PERC,05/18/2018,4.3,4.38,4.3,4.32,294000,0
PHEN,05/18/2018,1.42,1.43,1.4,1.4,453000,98000
