^FINANCIAL,11/28/2017,2079.61,2091.62,2077.3,2090.57,1180597,110795
AUB,11/28/2017,59.75,59.75,59.25,59.75,5020,286800
BDO,11/28/2017,143,145,143,144.9,1314250,-5323692
BPI,11/28/2017,102,103.2,101.7,102,1455100,9853758
CHIB,11/28/2017,33.45,33.45,33.25,33.25,226500,-156545
EW,11/28/2017,35.1,35.15,34.15,34.3,1905000,-3986395
MBT,11/28/2017,93.9,95.85,92.75,95.85,3138810,163267280
PBB,11/28/2017,12,12,12,12,5000,60000
PBC,11/28/2017,24.5,25,24.5,25,853500,0
PNB,11/28/2017,56.5,57,56.3,56.3,57600,-1783464
PSB,11/28/2017,89.5,89.5,89,89.5,9490,0
PTC,11/28/2017,99,99,99,99,1000,0
RCB,11/28/2017,56.45,57.2,56.05,56.05,662400,-2980387
SECB,11/28/2017,253.8,253.8,249.6,250,562680,-47488642
UBP,11/28/2017,87.15,87.35,86.95,87,46450,-883692
AGF,11/28/2017,4,4.25,3.78,3.81,932000,0
BKR,11/28/2017,2.55,2.55,2.27,2.27,8522000,-47490
BLFI,11/28/2017,3.89,3.9,3.89,3.9,156000,0
COL,11/28/2017,15.78,15.78,15.62,15.62,5500,1578
FAF,11/28/2017,0.66,0.66,0.65,0.65,29000,0
MED,11/28/2017,0.58,0.58,0.57,0.57,837000,-56999
NRCP,11/28/2017,0.81,0.83,0.81,0.83,194000,33200
PSE,11/28/2017,240,241,240,241,830,0
SLF,11/28/2017,1870,1870,1860,1860,150,0
V,11/28/2017,1.25,1.25,1.25,1.25,272000,0
^INDUSTRIAL,11/28/2017,10872.9,10877.91,10817.79,10845.25,1467261,113011
ACR,11/28/2017,1.31,1.32,1.29,1.3,2027000,208600
AP,11/28/2017,40.5,40.5,39.95,40,1804100,6785090
BSC,11/28/2017,0.22,0.22,0.217,0.217,2240000,0
EDC,11/28/2017,5.73,5.76,5.63,5.64,18493700,-76622274
FGEN,11/28/2017,17.32,17.36,17.24,17.3,258900,-653650
FPH,11/28/2017,62,62.4,61.3,61.3,61500,721731
H2O,11/28/2017,8,8.38,7.4,7.4,2337900,1423890
MER,11/28/2017,317,317,310.8,313,1551710,131299754
MWC,11/28/2017,28.1,28.55,28.1,28.25,1642200,15374090
PCOR,11/28/2017,9.23,9.4,9.22,9.33,3567300,-10175035
PERC,11/28/2017,6.25,6.25,6.1,6.15,37200,27711
PHEN,11/28/2017,1.57,1.57,1.54,1.55,1072000,218470
PNX,11/28/2017,12.12,12.12,11.9,12.1,65200,0
SHLPH,11/28/2017,58.9,58.9,58.15,58.15,69330,440728
SPC,11/28/2017,6.84,6.9,6.52,6.67,492000,-262766
VVT,11/28/2017,25.1,25.1,25,25,1800,0
ANI,11/28/2017,12.18,12.28,12.08,12.18,1398100,513242
CAT,11/28/2017,19.8,20.55,19.8,20.55,2200,1980
CNPF,11/28/2017,15.3,15.32,15.24,15.32,47500,-108594
DMPL,11/28/2017,11,11.48,11,11.4,4500,1100
DNL,11/28/2017,10.64,10.72,10.64,10.66,8096700,39112324
EMP,11/28/2017,7.25,7.3,7.2,7.25,170300,115493
FOOD,11/28/2017,0.71,0.72,0.7,0.71,396000,-193960
GSMI,11/28/2017,23.9,23.9,23.3,23.35,188500,0
JFC,11/28/2017,254,254,250,252,713760,-3173002
MACAY,11/28/2017,21.65,21.65,20,21.6,5300,0
MAXS,11/28/2017,18,18,17.96,17.98,88100,-38006
MG,11/28/2017,0.198,0.198,0.195,0.198,1250000,0
PF,11/28/2017,528,540,525,529.5,18680,2674305
PIP,11/28/2017,2.5,2.5,2.46,2.46,5002000,-844700
PIZZA,11/28/2017,12.9,12.92,12.8,12.9,183200,1747964
RFM,11/28/2017,4.97,4.97,4.78,4.85,638000,0
ROX,11/28/2017,4.5,4.79,4.4,4.4,334000,0
SFI,11/28/2017,0.141,0.142,0.138,0.138,230000,0
URC,11/28/2017,135,136.9,134.5,136.9,552770,1969942
VITA,11/28/2017,1.93,2.03,1.93,2,12312000,89690
ABG,11/28/2017,17.38,17.38,16.58,17.12,63300,0
CA,11/28/2017,63.1,63.1,60,60,560,0
CHP,11/28/2017,4.57,4.7,4.36,4.38,18031000,-18125650
DAVIN,11/28/2017,5.56,5.57,5.56,5.56,15100,0
EAGLE,11/28/2017,14.76,14.86,14.68,14.8,295500,1361962
EEI,11/28/2017,10.94,11.16,10.9,11.02,296700,-1520546
HLCM,11/28/2017,12,12,11.8,11.82,8200,0
MWIDE,11/28/2017,18.1,18.1,18,18,1449400,11288070
PHN,11/28/2017,9.3,9.3,9.26,9.29,21800,-176510
T,11/28/2017,1.15,1.2,1.15,1.15,273000,0
VUL,11/28/2017,0.61,0.61,0.6,0.6,126000,0
CROWN,11/28/2017,2.04,2.04,1.92,2,481000,-62000
LMG,11/28/2017,4.03,4.08,4.02,4.03,121000,0
MVC,11/28/2017,3.6,3.66,3.51,3.53,64000,-7300
IMI,11/28/2017,19.06,19.48,18.92,19.02,1956800,12950612
ION,11/28/2017,2.38,2.47,2.3,2.38,12334000,-616740
PMPC,11/28/2017,8.5,8.53,8.5,8.5,48300,0
SSP,11/28/2017,1.98,1.98,1.96,1.98,276000,0
TECH,11/28/2017,42.4,42.4,41.05,42.4,793000,-2734915
^HOLDING,11/28/2017,8493.86,8493.86,8402.97,8443.69,3508937,-152116
ABA,11/28/2017,0.33,0.33,0.315,0.315,330000,0
AC,11/28/2017,1022,1025,1015,1017,143730,-85470850
AEV,11/28/2017,72,73.45,71.1,73.45,1247590,31024878
AGI,11/28/2017,15.64,15.66,15.44,15.52,1829200,139758
ANS,11/28/2017,7,7,7,7,500,0
APO,11/28/2017,1,1,1,1,3000,0
ATN,11/28/2017,0.365,0.38,0.365,0.375,4940000,0
ATNB,11/28/2017,0.375,0.375,0.375,0.375,550000,0
COSCO,11/28/2017,7.59,7.59,7.43,7.45,1427100,-6206295
DMC,11/28/2017,15.1,15.1,14.42,14.42,6480600,4346794
FDC,11/28/2017,7.91,7.98,7.85,7.97,51400,0
GTCAP,11/28/2017,1199,1199,1154,1162,214630,2428380
HI,11/28/2017,7.71,7.92,7.7,7.7,37500,0
JGS,11/28/2017,71.8,71.8,70.5,70.5,701430,-28783548
JOH,11/28/2017,5.2,5.25,5.2,5.25,1800,0
KPH,11/28/2017,5.48,5.48,5.45,5.45,1500,0
LIHC,11/28/2017,0.64,0.65,0.61,0.63,969000,0
LPZ,11/28/2017,5.49,5.64,5.49,5.59,747700,1297153
LTG,11/28/2017,19,19.5,18.94,19.48,1762400,6984438
MPI,11/28/2017,6.68,6.68,6.47,6.48,18033500,-31964830
PA,11/28/2017,0.047,0.047,0.046,0.047,13000000,0
POPI,11/28/2017,2.06,2.06,2.06,2.06,2585000,0
PRIM,11/28/2017,1.26,1.32,1.21,1.24,1800000,-85320
SGI,11/28/2017,1.79,1.83,1.73,1.8,6485000,1059120
SGP,11/28/2017,183.1,183.1,183.1,183.1,20,0
SM,11/28/2017,970,970,959,970,120880,-45363965
SMC,11/28/2017,113,113,111.5,111.5,837400,-1533910
SOC,11/28/2017,0.8,0.8,0.8,0.8,116000,0
SPM,11/28/2017,2.8,2.84,2.8,2.84,12000,0
TFHI,11/28/2017,282,286,281,285,4770,11336
UNI,11/28/2017,0.23,0.23,0.23,0.23,30000,0
ZHI,11/28/2017,0.186,0.186,0.185,0.185,180000,0
^PROPERTY,11/28/2017,3929.03,3929.03,3863.75,3904.86,876619,-26963
ALCO,11/28/2017,0.91,0.92,0.9,0.92,1016000,-4550
ALHI,11/28/2017,10.2,10.34,10.2,10.3,1700,0
ALI,11/28/2017,44,44,43.1,44,3600100,-9076410
ARA,11/28/2017,2.33,2.42,2.33,2.42,18000,0
BEL,11/28/2017,3.66,3.7,3.64,3.7,652000,-21920
BRN,11/28/2017,0.92,0.94,0.92,0.94,1685000,184000
CDC,11/28/2017,1.16,1.2,1.16,1.2,175000,119000
CEI,11/28/2017,0.223,0.225,0.215,0.216,22140000,130200
CHI,11/28/2017,5.36,5.46,5.36,5.46,15800,81900
CLI,11/28/2017,4.67,4.77,4.59,4.66,2190000,1270450
CPG,11/28/2017,0.47,0.475,0.465,0.47,11790000,-677050
CYBR,11/28/2017,0.46,0.485,0.46,0.465,1240000,0
DD,11/28/2017,37,38.5,36.95,37.4,429600,284555
ELI,11/28/2017,0.67,0.68,0.66,0.66,712000,0
EVER,11/28/2017,0.136,0.136,0.136,0.136,60000,0
FLI,11/28/2017,1.77,1.78,1.75,1.75,7647000,-5457920
GERI,11/28/2017,1.5,1.5,1.49,1.49,11886000,-6267220
HOUSE,11/28/2017,5.6,5.6,5.46,5.47,972300,-1149981
IRC,11/28/2017,0.79,0.79,0.77,0.77,117000,0
LAND,11/28/2017,1.12,1.13,1.12,1.13,52000,0
MEG,11/28/2017,5.48,5.48,5.28,5.41,29316100,-37931380
MRC,11/28/2017,0.43,0.445,0.425,0.435,186470000,-395900
PHES,11/28/2017,0.375,0.4,0.37,0.395,16690000,-100100
PRMX,11/28/2017,6.2,6.41,6.03,6.33,2642400,-1760030
RLC,11/28/2017,21.9,22,21.55,21.9,1376500,-4903180
RLT,11/28/2017,0.55,0.58,0.54,0.56,8595000,0
ROCK,11/28/2017,2.34,2.43,2.2,2.22,13921000,684400
SHNG,11/28/2017,3.2,3.22,3.2,3.2,1456000,0
SLI,11/28/2017,1.02,1.03,1.01,1.03,1855000,0
SMPH,11/28/2017,36.8,36.8,36,36.3,5315900,40624070
STR,11/28/2017,7.29,7.29,6.02,7.28,22900,0
SUN,11/28/2017,0.83,0.87,0.83,0.87,2000,0
VLL,11/28/2017,5.98,6,5.83,6,1997100,-2596914
^SERVICE,11/28/2017,1634.47,1634.47,1598.57,1605.32,1276538,-123505
ABS,11/28/2017,36.5,36.6,36,36.1,48700,0
GMA7,11/28/2017,5.88,5.9,5.8,5.81,89900,0
MB,11/28/2017,0.53,0.6,0.52,0.53,914000,0
GLO,11/28/2017,1815,1815,1777,1782,92880,6821440
TEL,11/28/2017,1571,1576,1490,1500,192935,-65457620
APL,11/28/2017,0.046,0.047,0.046,0.047,22300000,-46000
DFNN,11/28/2017,7.1,7.1,7,7,33800,0
IMP,11/28/2017,2.38,2.38,2.38,2.38,3000,0
IS,11/28/2017,0.145,0.148,0.144,0.147,440000,1470
ISM,11/28/2017,1.36,1.36,1.35,1.35,664000,0
JAS,11/28/2017,3.04,3.18,3.04,3.18,2000,0
NOW,11/28/2017,3.1,3.17,3.02,3.05,10301000,12140
TBGI,11/28/2017,1.91,1.91,1.91,1.91,14000,0
WEB,11/28/2017,8.88,8.91,8.7,8.75,1681200,-5755271
2GO,11/28/2017,16.5,16.9,16.5,16.78,29000,250022
ATI,11/28/2017,12,12,11.2,11.2,300,0
CEB,11/28/2017,99.8,99.95,99.7,99.7,144700,4719401
CLC,11/28/2017,9.05,9.05,8.8,8.8,762700,-6240
ICT,11/28/2017,105,106.5,104,106,828730,2058053
LBC,11/28/2017,15.7,15.7,15.7,15.7,100,0
LSC,11/28/2017,1.18,1.25,1.18,1.22,1171000,0
MAC,11/28/2017,21.9,22.4,21,22,3247300,-3765395
TUGS,11/28/2017,4,4.6,3.96,4.42,44056000,-372530
ACE,11/28/2017,1.35,1.56,1.35,1.49,828000,42350
BHI,11/28/2017,0.08,0.08,0.076,0.078,27790000,416720
DWC,11/28/2017,3,3.05,2.77,3.03,249000,0
GPH,11/28/2017,11.04,11.04,11,11,2900,0
WPI,11/28/2017,0.99,1.1,0.98,1.07,57741000,-12300
IPO,11/28/2017,12,12,11.98,12,131300,0
STI,11/28/2017,1.78,1.82,1.73,1.75,11034000,6961860
BLOOM,11/28/2017,10.2,10.54,10.18,10.5,13350900,53647446
LOTO,11/28/2017,11.1,11.1,11.1,11.1,200,0
LR,11/28/2017,3.64,3.7,3.62,3.64,195000,-70300
MJC,11/28/2017,3.65,3.89,3.62,3.74,1966000,0
MRP,11/28/2017,7.13,7.3,7.02,7.23,4564700,4064956
PLC,11/28/2017,1.3,1.31,1.28,1.29,1639000,-317880
RWM,11/28/2017,3.69,3.99,3.68,3.96,3288000,0
MRSGI,11/28/2017,3.91,3.94,3.9,3.91,421000,509040
PGOLD,11/28/2017,49.2,49.4,48.4,48.4,1138600,-18432060
RRHI,11/28/2017,95,96.95,93.95,94,225140,-7741085
SEVN,11/28/2017,146,149,145,148.9,2310,64027
SSI,11/28/2017,3.21,3.31,3.2,3.21,1055000,-321510
WLCON,11/28/2017,8.25,8.34,8.19,8.3,2946600,7349216
APC,11/28/2017,0.47,0.48,0.47,0.47,100000,0
HVN,11/28/2017,17.22,18.1,17.22,18.1,2100,0
IPM,11/28/2017,8.37,8.37,8.33,8.36,347200,0
PHA,11/28/2017,0.335,0.34,0.335,0.34,400000,0
SBS,11/28/2017,6.17,6.17,5.86,6.17,87400,0
AB,11/28/2017,13.68,15,13.68,15,300,0
APX,11/28/2017,1.66,1.69,1.65,1.66,5089000,-9660
AR,11/28/2017,0.0023,0.0024,0.0023,0.0023,39000000,0
AT,11/28/2017,4.82,5,4.82,5,646000,-14740
BC,11/28/2017,1.71,1.8,1.7,1.7,102000,0
BCB,11/28/2017,1.71,1.73,1.71,1.72,38000,-65430
COAL,11/28/2017,0.345,0.345,0.34,0.34,450000,0
CPM,11/28/2017,1.62,1.63,1.59,1.62,3862000,53130
FNI,11/28/2017,2.8,2.8,2.65,2.67,16412000,326670
GEO,11/28/2017,0.236,0.237,0.219,0.235,2000000,184250
LC,11/28/2017,0.15,0.151,0.15,0.151,4780000,0
LCB,11/28/2017,0.152,0.153,0.15,0.151,18020000,-819100
MA,11/28/2017,0.01,0.01,0.01,0.01,11700000,0
MARC,11/28/2017,1.82,1.82,1.72,1.72,631000,0
NI,11/28/2017,1.52,1.52,1.5,1.52,72000,30000
NIKL,11/28/2017,6.4,6.4,6.08,6.09,10293000,-14301343
OM,11/28/2017,0.45,0.45,0.45,0.45,180000,0
ORE,11/28/2017,0.9,0.9,0.87,0.89,649000,0
PX,11/28/2017,6.71,6.71,6.25,6.26,1211000,-2006046
SCC,11/28/2017,37,37.15,35,35.35,5899600,-91670750
UPM,11/28/2017,0.007,0.007,0.007,0.007,4000000,0
OPM,11/28/2017,0.012,0.013,0.012,0.013,31200000,0
OPMB,11/28/2017,0.012,0.014,0.012,0.013,657100000,-1300
OV,11/28/2017,0.011,0.012,0.011,0.012,160000000,0
PXP,11/28/2017,10.44,11.06,10.4,10.86,11737800,168874
^MINING-OIL,11/28/2017,11953.95,11953.95,11526.59,11526.59,489721,0
^PSEi,11/28/2017,8341.77,8341.77,8254.25,8291.88,8820409,-51773
^ALLSHARES,11/28/2017,4881.5,4881.5,4836.82,4854.67,0,0
FMETF,11/28/2017,125.6,125.7,125.5,125.7,7430,-47728
ACPB1,11/28/2017,522.5,522.5,522.5,522.5,20000,0
ACPB2,11/28/2017,531,531,531,531,500,0
ALCPB,11/28/2017,108,108.4,108,108,20850,-1002700
DDPR,11/28/2017,106,106.5,106,106.5,15520,0
FGENG,11/28/2017,115.6,115.6,115.6,115.6,43340,0
GLOPP,11/28/2017,537,537,537,537,2960,0
GTPPA,11/28/2017,1012,1012,1010,1010,9610,0
GTPPB,11/28/2017,1020,1030,1020,1030,11995,0
MWP,11/28/2017,109.4,109.4,109.4,109.4,1360,0
PFP2,11/28/2017,1010,1010,1001,1001,3300,0
PNX3A,11/28/2017,103,103,103,103,23630,0
SMC2B,11/28/2017,77.4,77.5,77,77,1070,0
SMC2C,11/28/2017,81.5,81.5,81.25,81.25,1710,0
SMC2D,11/28/2017,77,77,77,77,11440,0
SMC2E,11/28/2017,79,79,79,79,20000,0
SMC2F,11/28/2017,81.45,81.45,79.5,79.6,101050,239400
SMC2G,11/28/2017,78.95,78.95,77.4,78.5,71100,0
SMC2H,11/28/2017,78.4,78.4,78.4,78.4,1600,0
ABSP,11/28/2017,36.05,36.05,35.55,35.75,17700,-397085
GMAP,11/28/2017,5.45,5.45,5.42,5.42,120500,-617377
LRW,11/28/2017,2.28,2.4,2.26,2.4,401000,-46000
DNA,11/28/2017,3.4,3.5,3.17,3.39,109000,0
IDC,11/28/2017,11.96,12,11.32,11.46,1054100,-15660
X,11/28/2017,3.82,3.86,3.72,3.77,1919000,-2858050
